,PID,TID,Timestamp,Channel,CPU,Event type,Contents,Trace Packet Header,Packet Context,Stream Context,Event Context,Prio,Source
899,1133.0,20884.0,19:42:16.018 506 731,my-kernel-channel_4,4,syscall_exit_unknown,"id=435, ret=0, args=[139846647388864, 88, 139854082926672, 8, 139847935989312, 139846647389151], context.packet_seq_num=0, context.cpu_id=4, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20884","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061431372640, timestamp_end=12032520519741, content_size=266535856, packet_size=266567680, packet_seq_num=0, events_discarded=0, cpu_id=4]","[procname=""elasticsearch[e"", pid=1133, tid=20884]",,20.0,[unknown/unknown:0]
900,1133.0,20884.0,19:42:16.018 514 801,my-kernel-channel_4,4,syscall_entry_unknown,"id=334, args=[139847935991776, 32, 0, 1392848979, 128, 139846647389151], context.packet_seq_num=0, context.cpu_id=4, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20884","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061431372640, timestamp_end=12032520519741, content_size=266535856, packet_size=266567680, packet_seq_num=0, events_discarded=0, cpu_id=4]","[procname=""elasticsearch[e"", pid=1133, tid=20884]",,20.0,[unknown/unknown:0]
901,1133.0,20884.0,19:42:16.018 516 339,my-kernel-channel_4,4,syscall_exit_unknown,"id=334, ret=0, args=[139847935991776, 32, 0, 1392848979, 128, 139846647389151], context.packet_seq_num=0, context.cpu_id=4, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20884","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061431372640, timestamp_end=12032520519741, content_size=266535856, packet_size=266567680, packet_seq_num=0, events_discarded=0, cpu_id=4]","[procname=""elasticsearch[e"", pid=1133, tid=20884]",,20.0,[unknown/unknown:0]
902,1133.0,20884.0,19:42:16.018 519 532,my-kernel-channel_4,4,syscall_entry_set_robust_list,"head=139847935990048, len=24, context.packet_seq_num=0, context.cpu_id=4, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20884","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061431372640, timestamp_end=12032520519741, content_size=266535856, packet_size=266567680, packet_seq_num=0, events_discarded=0, cpu_id=4]","[procname=""elasticsearch[e"", pid=1133, tid=20884]",,20.0,[kernel/futex.c:0]
903,1133.0,20884.0,19:42:16.018 521 348,my-kernel-channel_4,4,syscall_exit_set_robust_list,"ret=0, context.packet_seq_num=0, context.cpu_id=4, context._procname=""elasticsearch[e"", context._pid=1133, context._tid=20884","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061431372640, timestamp_end=12032520519741, content_size=266535856, packet_size=266567680, packet_seq_num=0, events_discarded=0, cpu_id=4]","[procname=""elasticsearch[e"", pid=1133, tid=20884]",,20.0,[kernel/futex.c:0]
904,499.0,20885.0,19:42:20.104 792 222,my-kernel-channel_1,1,syscall_exit_unknown,"id=435, ret=0, args=[140723629335216, 88, 140481647077456, 8, 140481612011072, 140723629335503], context.packet_seq_num=0, context.cpu_id=1, context._procname=""systemd-journal"", context._pid=499, context._tid=20885","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061303363927, timestamp_end=12032520491955, content_size=403264288, packet_size=403275776, packet_seq_num=0, events_discarded=0, cpu_id=1]","[procname=""systemd-journal"", pid=499, tid=20885]",,19.0,[unknown/unknown:0]
905,499.0,20885.0,19:42:20.104 808 560,my-kernel-channel_1,1,syscall_entry_unknown,"id=334, args=[140481612013536, 32, 0, 1392848979, 128, 140723629335503], context.packet_seq_num=0, context.cpu_id=1, context._procname=""systemd-journal"", context._pid=499, context._tid=20885","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061303363927, timestamp_end=12032520491955, content_size=403264288, packet_size=403275776, packet_seq_num=0, events_discarded=0, cpu_id=1]","[procname=""systemd-journal"", pid=499, tid=20885]",,19.0,[unknown/unknown:0]
906,499.0,20885.0,19:42:20.104 811 633,my-kernel-channel_1,1,syscall_exit_unknown,"id=334, ret=0, args=[140481612013536, 32, 0, 1392848979, 128, 140723629335503], context.packet_seq_num=0, context.cpu_id=1, context._procname=""systemd-journal"", context._pid=499, context._tid=20885","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061303363927, timestamp_end=12032520491955, content_size=403264288, packet_size=403275776, packet_seq_num=0, events_discarded=0, cpu_id=1]","[procname=""systemd-journal"", pid=499, tid=20885]",,19.0,[unknown/unknown:0]
907,499.0,20885.0,19:42:20.104 817 597,my-kernel-channel_1,1,syscall_entry_set_robust_list,"head=140481612011808, len=24, context.packet_seq_num=0, context.cpu_id=1, context._procname=""systemd-journal"", context._pid=499, context._tid=20885","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061303363927, timestamp_end=12032520491955, content_size=403264288, packet_size=403275776, packet_seq_num=0, events_discarded=0, cpu_id=1]","[procname=""systemd-journal"", pid=499, tid=20885]",,19.0,[kernel/futex.c:0]
908,499.0,20885.0,19:42:20.104 821 183,my-kernel-channel_1,1,syscall_exit_set_robust_list,"ret=0, context.packet_seq_num=0, context.cpu_id=1, context._procname=""systemd-journal"", context._pid=499, context._tid=20885","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061303363927, timestamp_end=12032520491955, content_size=403264288, packet_size=403275776, packet_seq_num=0, events_discarded=0, cpu_id=1]","[procname=""systemd-journal"", pid=499, tid=20885]",,19.0,[kernel/futex.c:0]
909,499.0,20886.0,19:42:20.104 921 200,my-kernel-channel_2,2,syscall_exit_unknown,"id=435, ret=0, args=[140723629335216, 88, 140481647077456, 8, 140481620403776, 140723629335503], context.packet_seq_num=0, context.cpu_id=2, context._procname=""systemd-journal"", context._pid=499, context._tid=20886","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""systemd-journal"", pid=499, tid=20886]",,19.0,[unknown/unknown:0]
910,499.0,20886.0,19:42:20.104 939 292,my-kernel-channel_2,2,syscall_entry_unknown,"id=334, args=[140481620406240, 32, 0, 1392848979, 128, 140723629335503], context.packet_seq_num=0, context.cpu_id=2, context._procname=""systemd-journal"", context._pid=499, context._tid=20886","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""systemd-journal"", pid=499, tid=20886]",,19.0,[unknown/unknown:0]
