PID,TID,Category,procname,count,total_time_ns,avg_time_ns,max_time_ns
21069,21069,I/O (File and Disk Operations),stress-ng,626,120550610367,192572860.0111821,3678276080
21069,21069,Unknown,stress-ng,1,2618,2618.0,2618
21070,21070,CPU and Process Management,stress-ng,1,2607,2607.0,2607
21070,21070,I/O (File and Disk Operations),stress-ng,69,35304481646,511659154.28985506,2945485925
21070,21070,Synchronization and Timing,stress-ng,17,85005306320,5000312136.470589,5001296951
21070,21070,Unknown,stress-ng,1,2578,2578.0,2578
21071,21071,CPU and Process Management,stress-ng,1,3442,3442.0,3442
21071,21071,Event Polling and Notification,stress-ng,20,1200400103,60020005.15,94440624
21071,21071,I/O (File and Disk Operations),stress-ng,19,11715656603,616613505.4210526,2667341137
21071,21071,Unknown,stress-ng,43,107544910206,2501044423.395349,7934381769
21072,21072,CPU and Process Management,stress-ng,1,2684,2684.0,2684
21072,21072,Event Polling and Notification,stress-ng,9,721650945,80183438.33333333,122219131
21072,21072,I/O (File and Disk Operations),stress-ng,27,119741350718,4434864841.407408,12649347092
21072,21072,Unknown,stress-ng,1,2515,2515.0,2515
21074,21074,CPU and Process Management,stress-ng,1,4485,4485.0,4485
21074,21074,I/O (File and Disk Operations),stress-ng,21,120163868536,5722088977.904762,17185292056
21074,21074,Unknown,stress-ng,1,4106,4106.0,4106
21075,21075,CPU and Process Management,stress-ng,1,4095,4095.0,4095
21075,21075,I/O (File and Disk Operations),stress-ng,27,120164991929,4450555256.62963,17140073532
21075,21075,Unknown,stress-ng,1,3381,3381.0,3381
21076,21076,CPU and Process Management,stress-ng,1,3418,3418.0,3418
21076,21076,I/O (File and Disk Operations),stress-ng,16,118412337654,7400771103.375,19342271977
21076,21076,Synchronization and Timing,stress-ng,7,1751917390,250273912.85714287,250486847
21076,21076,Unknown,stress-ng,1,2801,2801.0,2801
21077,21077,CPU and Process Management,stress-ng,1,3346,3346.0,3346
